Country,Surface..km2,Population,Average.Height.Male..cm.,Average.Height.Female..cm.,Sex ratio (m per 100f),International trade: Export..mln USD,International trade: Import..mln USD,GDP per capita (current US$)
Nigeria,923768,206139589,171.55,158.14,102.7,104084,104084,2714.5
Niue,260,1626,177.19,167.03,100.0,-99,-99,431.1
Norway,386194,5421241,180.48,166.45,101.8,89120,89120,74185.5
Oman,309500,5106626,171.7,158.44,192.8,24455,24455,15550.8
Pakistan,796095,220892340,167.33,154.77,105.6,20534,20534,1410.4
Palau,459,18094,170.62,159.52,113.3,7,7,12122.5
Panama,75320,4314767,170.19,158.19,100.4,636,636,13268.1
Papua New Guinea,462840,8947024,163.1,156.89,103.5,8760,8760,2797.6
Paraguay,406752,7132538,173.81,159.76,102.9,8494,8494,4174.4
Peru,1285216,32971854,166.75,154.39,99.8,36040,36040,6069.1
Philippines,300000,109581078,165.23,154.14,101.3,56313,56313,2904.2
Poland,312679,37846611,180.69,165.78,93.4,196455,196455,12355.5
Portugal,92226,6031200,174.37,161.23,89.8,55658,55658,19239.2
Puerto Rico,8868,2860853,179.48,163.06,92.6,-99,-99,27939.0
Qatar,11607,2881053,173.27,160.72,301.2,57254,57254,73653.4
Romania,238391,19237691,177.82,164.73,94.0,63581,63581,9120.7
Rwanda,26338,12952218,166.02,156.72,96.2,622,622,697.3
Saint Kitts and Nevis,261,53199,173.71,162.78,97.0,51,51,15771.9
Saint Lucia,539,2083374,176.43,165.52,95.9,120,120,7839.4
Saint Vincent and the Grenadines,389,11094,177.49,165.3,101.7,47,47,6739.2
Samoa,2842,198414,174.42,163.82,106.6,56,56,4006.0
Sao Tome and Principe,964,219159,170.37,159.81,99.2,10,10,1752.8
Saudi Arabia,2206714,3278290,170.67,158.84,132.9,182329,182329,20710.6
Senegal,196712,16743927,176.18,163.92,96.6,2640,2640,901.1
Serbia,88499,8737371,180.74,168.29,95.6,14852,14852,5238.6
Seychelles,457,98347,175.9,162.47,97.2,335,335,14133.2
Sierra Leone,72300,7976983,166.43,157.34,98.1,466,466,694.8
Singapore,719,5850342,173.5,161.3,97.7,329871,329871,52239.0
Slovakia,49035,5459642,181.02,167.12,94.6,77565,77565,16082.5
Slovenia,20273,43733762,180.98,167.2,98.6,27585,27585,20689.8
Solomon Islands,28896,686884,163.07,156.79,103.4,437,437,1841.6
Somalia,637657,15893222,171.22,159.86,99.3,925,925,144.5
South Africa,1221037,59308690,169.63,158.58,96.4,74111,74111,5773.0
Spain,505944,46754778,176.11,162.03,96.2,281777,281777,25865.4
Sri Lanka,65610,21413249,168.07,155.88,92.5,10546,10546,3973.7
Sudan,-99,43849260,172.07,160.36,99.9,1797,1797,1977.0
Suriname,163820,586632,174.51,162.26,100.7,1437,1437,8985.3
Sweden,438574,10099265,180.46,166.67,100.2,139574,139574,50687.5
Switzerland,41291,8654622,178.73,164.33,98.2,304691,304691,80831.1
Tajikistan,142600,9537645,168.43,158.12,100.9,899,899,925.9
Thailand,513120,69799978,171.61,159.42,95.2,213927,213927,5814.8
Timor-Leste,14919,1318445,160.13,152.71,103.2,94,94,2425.4
Togo,56785,8278724,170.14,159.13,99.4,715,715,559.4
